Level,	Equip Load,	Increase by
1,	45.0,	0.0
2,	45.0,	0.0
3,	45.0,	0.0
4,	45.0,	0.0
5,	45.0,	0.0
6,	45.0,	0.0
7,	45.0,	0.0
8,	45.0,	0.0
9,	46.6,	1.6
10,	48.2,	1.6
11,	49.8,	1.6
12,	51.4,	1.6
13,	52.9,	1.5
14,	54.5,	1.6
15,	56.1,	1.6
16,	57.7,	1.6
17,	59.3,	1.6
18,	60.9,	1.6
19,	62.5,	1.6
20,	64.1,	1.6
21,	65.6,	1.5
22,	67.2,	1.6
23,	68.8,	1.6
24,	70.4,	1.6
25,	72.0,	1.6
26,	73.0,	1.0
27,	74.1,	1.1
28,	75.2,	1.1
29,	76.4,	1.2
30,	77.6,	1.2
31,	78.9,	1.3
32,	80.2,	1.3
33,	81.5,	1.3
34,	82.8,	1.3
35,	84.1,	1.3
36,	85.4,	1.3
37,	86.8,	1.4
38,	88.1,	1.3
39,	89.5,	1.4
40,	90.9,	1.4
41,	92.3,	1.4
42,	93.7,	1.4
43,	95.1,	1.4
44,	96.5,	1.4
45,	97.9,	1.4
46,	99.4,	1.5
47,	100.8,	1.4
48,	102.2,	1.4
49,	103.7,	1.5
50,	105.2,	1.5
51,	106.6,	1.4
52,	108.1,	1.5
53,	109.6,	1.5
54,	111.0,	1.4
55,	112.5,	1.5
56,	114.0,	1.5
57,	115.5,	1.5
58,	117.0,	1.5
59,	118.5,	1.5
60,	120.0,	1.5
61,	121.0,	1.0
62,	122.1,	1.1
63,	123.1,	1.0
64,	124.1,	1.0
65,	125.1,	1.0
66,	126.2,	1.1
67,	127.2,	1.0
68,	128.2,	1.0
69,	129.2,	1.0
70,	130.3,	1.1
71,	131.3,	1.0
72,	132.3,	1.0
73,	133.3,	1.0
74,	134.4,	1.1
75,	135.4,	1.0
76,	136.4,	1.0
77,	137.4,	1.0
78,	138.5,	1.1
79,	139.5,	1.0
80,	140.5,	1.0
81,	141.5,	1.0
82,	142.6,	1.1
83,	143.6,	1.0
84,	144.6,	1.0
85,	145.6,	1.0
86,	146.7,	1.1
87,	147.7,	1.0
88,	148.7,	1.0
89,	149.7,	1.0
90,	150.8,	1.1
91,	151.8,	1.0
92,	152.8,	1.0
93,	153.8,	1.0
94,	154.9,	1.1
95,	155.9,	1.0
96,	156.9,	1.0
97,	157.9,	1.0
98,	159.0,	1.1
99,	160.0,	1.0
