Level, HP Total, Increase
1,	300,	0
2,	304,	4
3,	312,	8
4,	322,	10
5,	334,	12
6,	347,	13
7,	362,	15
8,	378,	16
9,	396,	18
10,	414,	18
11,	434,	20
12,	455,	21
13,	476,	21
14,	499,	23
15,	522,	23
16,	547,	25
17,	572,	25
18,	598,	26
19,	624,	26
20,	652,	28
21,	680,	28
22,	709,	29
23,	738,	29
24,	769,	31
25,	800,	31
26,	833,	33
27,	870,	37
28,	910,	40
29,	951,	41
30,	994,	43
31,	1037,	43
32,	1081,	44
33,	1125,	44
34,	1170,	45
35,	1216,	46
36,	1262,	46
37,	1308,	46
38,	1355,	47
39,	1402,	47
40,	1450,	48
41,	1476,	26
42,	1503,	27
43,	1529,	26
44,	1555,	26
45,	1581,	26
46,	1606,	25
47,	1631,	25
48,	1656,	25
49,	1680,	24
50,	1704,	24
51,	1727,	23
52,	1750,	23
53,	1772,	22
54,	1793,	21
55,	1814,	21
56,	1834,	20
57,	1853,	19
58,	1871,	18
59,	1887,	16
60,	1900,	13
61,	1906,	6
62,	1912,	6
63,	1918,	6
64,	1924,	6
65,	1930,	6
66,	1936,	6
67,	1942,	6
68,	1948,	6
69,	1954,	6
70,	1959,	5
71,	1965,	6
72,	1971,	6
73,	1977,	6
74,	1982,	5
75,	1988,	6
76,	1993,	5
77,	1999,	6
78,	2004,	5
79,	2010,	6
80,	2015,	5
81,	2020,	5
82,	2026,	6
83,	2031,	5
84,	2036,	5
85,	2041,	5
86,	2046,	5
87,	2051,	5
88,	2056,	5
89,	2060,	4
90,	2065,	5
91,	2070,	5
92,	2074,	4
93,	2078,	4
94,	2082,	4
95,	2086,	4
96,	2090,	4
97,	2094,	4
98,	2097,	3
99,	2100,	3
